"Departamento","Ciudad","Nombre del Macroproyecto de Interés Social Nacional Adoptado","No. Viviendas TERMINADAS EN EL AÑO 2009","No. Viviendas TERMINADAS EN EL AÑO 2010","No. Viviendas TERMINADAS EN EL AÑO 2011","No. Viviendas TERMINADAS EN EL AÑO 2012","No. Viviendas TERMINADAS EN EL AÑO 2013","No. Viviendas TERMINADAS EN EL AÑO 2014","No. Viviendas TERMINADAS EN EL AÑO 2015","No. Viviendas TERMINADAS EN EL AÑO 2016","No. Viviendas TERMINADAS EN EL AÑO 2017","No. Viviendas TERMINADAS EN EL AÑO 2018","No. Viviendas TERMINADAS EN EL AÑO 2019","No. Viviendas TERMINADAS EN EL AÑO 2020","No. Viviendas TERMINADAS EN EL AÑO 2021","No. Viviendas TERMINADAS EN EL AÑO 2022","No. Viviendas TERMINADAS EN EL AÑO 2023","No. Viviendas TERMINADAS EN EL AÑO 2024","No. Viviendas TERMINADAS EN EL AÑO 2025","No. Viviendas TERMINADAS EN EL AÑO 2026"
"ANTIOQUIA","MEDELLIN","NUEVO OCCIDENTE","4,279","779","969","811","336","439","1,268","676","0","0","0","424","0","0","0","276","0",
"ATLANTICO","BARRANQUILLA","VILLAS DE SAN PABLO","189","11","190","30","1,055","15","221","249","13","246","107","126","704","254","222","453","176",
"BOLIVAR","CARTAGENA","CIUDAD DEL BICENTENARIO","145","673","95","196","138","1,238","522","613","242","319","1","412","675","428","747","901","572",
"CALDAS","MANIZALES","CENTRO OCCIDENTE DE COLOMBIA  SAN JOSE","0","0","0","0","0","0","24","0","0","108","212","0","0","0","0","0","0",
"CUNDINAMARCA","SOACHA","CIUDAD VERDE","0","0","1,934","3,927","7,957","5,026","2,601","6,759","5,117","2.471","6.494","3.264","1.337","1.628","2.774","875","456",
"HUILA","NEIVA","BOSQUES DE SAN LUIS","0","400","540","1","580","804","0","300","220","0","340","0","0","0","0","0","0",
"RISARALDA","PEREIRA","CIUDADELA GONZALO VALLEJO RESTREPO","360","744","3","128","1,107","224","275","392","403","415","361","342","243","772","894","336","621",
"SANTANDER","PIEDECUESTA","PIENTA-HOMENAJE COMUNERO AL BICENTENARIO DE LA INDEPENDENCIA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"VALLE","CALI","ALTOS DE SANTA ELENA","300","460","280","730","80","0","0","140","400","260","199","84","240","84","0","0","0",
"VALLE","BUENAVENTURA","SAN ANTONIO-CIUDADELA NUEVA BUENAVENTURA","45","7","568","0","176","524","0","0","0","0","0","0","0","0","0","0","0",
"VALLE","CALI","ECOCIUDAD NAVARRO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",
"VALLE","PALMIRA","LA ITALIA","0","0","0","0","407","1,839","940","495","284","390","460","470","135","0","0","0","0",
"VALLE","CANDELARIA","PIDU MIRADOR DEL FRAYLE","0","0","0","0","0","0","0","0","300","0","0","0","0","0","0","0","1.565",
